No    | English            | Vietnamese
3216  | invention          | phat minh
3217  | inventor           | nha phat minh
3218  | inventory          | hang ton kho
3219  | inverse            | nguoc
3220  | inversion          | dao nguoc
3221  | investigation      | dieu tra
3222  | investigator       | dieu tra vien
3223  | investment         | dau tu
3224  | investor           | nha dau tu
3225  | invitation         | loi moi
3226  | invite             | moi
3227  | invoice            | hoa don
3228  | involvement        | tham gia
3229  | iridescence        | ngu
3230  | iris               | iris
3231  | iron               | sat
3232  | ironclad           | boc thep
3233  | irony              | tro treu
3234  | irrigation         | thuy loi
3235  | ischemia           | thieu mau
3236  | island             | dao
3237  | isogloss           | isogloss
3238  | isolation          | co lap
3239  | issue              | van de
3240  | item               | muc
3241  | itinerary          | hanh trinh
3242  | ivory              | nga
3243  | jack               | jack
3244  | jackal             | jackal
3245  | jacket             | ao khoac
3246  | jackfruit          | mit
3247  | jade               | jade
3248  | jaguar             | jaguar
3249  | jail               | tu
3250  | jailhouse          | tu
3251  | jalape̱o        | jalapeA_o
3252  | jam                | mut
3253  | jar                | binh
3254  | jasmine            | jasmine
3255  | jaw                | ham
3256  | jazz               | jazz
3257  | jealousy           | su ghen tuong
3258  | jeans              | quan jean
3259  | jeep               | jeep
3260  | jelly              | thach
3261  | jellybeans         | keo deo
3262  | jellyfish          | sua
3263  | jerk               | giat
3264  | jet                | may bay phan luc
3265  | jewel              | vien ngoc
3266  | jeweller           | do trang suc
3267  | jewellery          | do trang suc
3268  | jewelry            | do trang suc
3269  | jicama             | cu dau
3270  | jiffy              | nhay mat
3271  | job                | cong viec
3272  | jockey             | jockey
3273  | jodhpurs           | dong phuc,
3274  | joey               | joey
3275  | jogging            | chay bo
3276  | joint              | phan
3277  | joke               | tro dua
3278  | jot                | ghi lai
3279  | journal            | tap chi
3280  | journalism         | bao chi
3281  | journalist         | nha bao
3282  | journey            | hanh trinh
3283  | joy                | joy
3284  | judge              | tham phan
3285  | judgment           | phan xet
3286  | judo               | judo
3287  | jug                | binh
3288  | juggernaut         | nhi
3289  | juice              | nuoc trai cay
3290  | julienne           | julienne
3291  | jumbo              | jumbo
3292  | jump               | nhay
3293  | jumper             | nhay
3294  | jumpsuit           | jumpsuit
3295  | jungle             | rung
3296  | junior             | junior
3297  | junk               | junk
3298  | junker             | junker
3299  | junket             | lien hoan
3300  | jury               | ban giam khao
3301  | justice            | cong ly
3302  | justification      | bien minh
3303  | jute               | day
3304  | kale               | xoan
3305  | kamikaze           | kamikaze
3306  | kangaroo           | kangaroo
3307  | karate             | karate
3308  | kayak              | kayak
3309  | kazoo              | nho
3310  | kebab              | kebab
3311  | keep               | giu
3312  | keeper             | keeper
3313  | kendo              | kendo
3314  | kennel             | cui
3315  | ketch              | thuyen nho co hai buom
3316  | ketchup            | sot ca chua
3317  | kettle             | am
3318  | kettledrum         | kettledrum
3319  | key                | chia khoa
3320  | keyboard           | ban phim
3321  | keyboarding        | ban phim may
3322  | keystone           | keystone
3323  | kick               | kick
3324  | kick-off           | kick-off
3325  | kid                | kid
3326  | kidney             | than
3327  | kielbasa           | food
3328  | kill               | giet
3329  | killer             | ke giet nguoi
3330  | killing            | giet
3331  | kilogram           | kg
3332  | kilometer          | km
3333  | kilt               | cai vay
3334  | kimono             | kimono
3335  | kinase             | bicarbonate
3336  | kind               | loai
3337  | kindness           | long tot
3338  | king               | vua
3339  | kingdom            | vuong quoc
3340  | kingfish           | kingfish
3341  | kiosk              | ki-ot
3342  | kiss               | hon
3343  | kit                | kit
3344  | kitchen            | nha bep
3345  | kite               | dieu
3346  | kitsch             | hao nhoang
3347  | kitten             | con meo
3348  | kitty              | kitty
3349  | kiwi               | kiwi
3350  | knee               | dau goi
3351  | kneejerk           | kneejerk
3352  | knickers           | quan lot
3353  | knife              | con dao
3354  | knife-edge         | con dao canh
3355  | knight             | hiep si
3356  | knitting           | dan
3357  | knock              | go
3358  | knot               | knot
3359  | know-how           | biet lam the nao
3360  | knowledge          | kien thuc
3361  | knuckle            | knuckle
3362  | koala              | gau
3363  | kohlrabi           | hao
3364  | kumquat            | quat
3365  | lab                | phong thi nghiem
3366  | label              | nhan
3367  | labor              | lao dong
3368  | laboratory         | phong thi nghiem
3369  | laborer            | nguoi lao dong
3370  | labour             | lao dong
3371  | labourer           | lao dong
3372  | lace               | ren
3373  | lack               | thieu
3374  | lacquerware        | mai
3375  | lad                | chang trai
3376  | ladder             | thang
3377  | ladle              | muc
3378  | lady               | lady
3379  | ladybug            | rua
3380  | lag                | tut hau
3381  | lake               | lake
3382  | lamb               | lamb
3383  | lambkin            | cuu non
3384  | lament             | than tho
3385  | lamp               | den
3386  | lanai              | hien
3387  | land               | dat
3388  | landform           | dia hinh
3389  | landing            | ha canh
3390  | landmine           | min
3391  | landscape          | canh
3392  | lane               | lane
3393  | language           | ngon ngu
3394  | lantern            | den long
3395  | lap                | lap
3396  | laparoscope        | ong noi soi
3397  | lapdog             | lapdog
3398  | laptop             | may tinh xach tay
3399  | larch              | cay tung
3400  | lard               | mo
3401  | larder             | tu
3402  | lark               | chim son ca
3403  | larva              | au trung
3404  | laryngitis         | viem
3405  | lasagna            | lasagna
3406  | lashes             | mi
3407  | last               | cuoi cung
3408  | latency            | tre
3409  | latex              | do
3410  | lathe              | tien
3411  | latitude           | vi do
3412  | latte              | latte
3413  | latter             | sau nay
3414  | laugh              | cuoi
3415  | laughter           | cuoi
3416  | laundry            | giat
3417  | lava               | dung nham
3418  | law                | luat
3419  | lawmaker           | nghi si
3420  | lawn               | co
3421  | lawsuit            | vu kien
3422  | lawyer             | luat su
3423  | lay                | dat
3424  | layer              | lop
3425  | layout             | bo tri
3426  | lead               | dan
3427  | leader             | lanh dao
3428  | leadership         | lanh dao
3429  | leading            | hang dau
3430  | leaf               | la
3431  | league             | giai dau
3432  | leaker             | leaker
3433  | leap               | buoc nhay vot
3434  | learning           | hoc
3435  | leash              | day xich
3436  | leather            | da
3437  | leave              | lai
3438  | leaver             | de lai di
3439  | lecture            | bai giang
3440  | leek               | toi tay
3441  | leeway             | mat nhieu thoi gian
3442  | left               | trai
3443  | leg                | chan
3444  | legacy             | di san
3445  | legal              | phap ly
3446  | legend             | truyen thuyet
3447  | legging            | xa
3448  | legislation        | phap luat
3449  | legislator         | nha lap phap
3450  | legislature        | co quan lap phap
3451  | legitimacy         | tinh hop phap
3452  | legume             | dau
3453  | leisure            | giai tri
3454  | lemon              | chanh
3455  | lemonade           | nuoc chanh
3456  | lemur              | lemur
3457  | lender             | cho vay
3458  | lending            | cho vay
3459  | length             | chieu dai
3460  | lens               | ong kinh
3461  | lentil             | dau lang
3462  | leopard            | bao
3463  | leprosy            | phong
3464  | leptocephalus      | leptocephalus
3465  | lesbian            | lesbian
3466  | lesson             | bai hoc
3467  | letter             | thu
3468  | lettuce            | rau diep
3469  | level              | cap
3470  | lever              | don bay
3471  | leverage           | don bay
3472  | leveret            | tho con bi bat
3473  | liability          | trach nhiem
3474  | liar               | doi tra
3475  | liberty            | liberty
3476  | libido             | ham muon tinh duc
3477  | library            | thu vien
3478  | licence            | giay phep
3479  | license            | giay phep
3480  | licensing          | cap giay phep
3481  | licorice           | cam thao
3482  | lid                | nap
3483  | lie                | noi doi
3484  | lieu               | lieu
3485  | lieutenant         | trung uy
3486  | life               | cuoc song
3487  | lifestyle          | loi song
3488  | lifetime           | doi
3489  | lift               | nang
3490  | ligand             | phoi tu
3491  | light              | anh sang
3492  | lighting           | anh sang
3493  | lightning          | set
3494  | lightscreen        | lightscreen
3495  | ligula             | dropper
3496  | likelihood         | kha nang
3497  | likeness           | chan dung
3498  | lilac              | tu dinh huong
3499  | lily               | lily
3500  | limb               | chi
3501  | lime               | voi
3502  | limestone          | da voi
3503  | limit              | gioi han
3504  | limitation         | gioi han
3505  | limo               | limo
3506  | line               | dong
3507  | linen              | lanh
3508  | liner              | lot
3509  | linguist           | nha ngon ngu
3510  | linguistics        | ngon ngu
3511  | lining             | xep hang
3512  | link               | link
3513  | linkage            | moi lien ket
3514  | linseed            | dau hat lanh
3515  | lion               | su tu
3516  | lip                | moi
3517  | lipid              | chat beo
3518  | lipoprotein        | lipoprotein
3519  | lipstick           | son moi
3520  | liquid             | chat long
3521  | liquidity          | thanh khoan
3522  | liquor             | ruou
3523  | list               | danh sach
3524  | listening          | nghe
3525  | listing            | danh sach
3526  | literate           | chu
3527  | literature         | van hoc
3528  | litigation         | vu kien tung
3529  | litmus             | quy
3530  | litter             | xa rac
3531  | littleneck         | ho thuong mo cua
3532  | liver              | gan
3533  | livestock          | gia suc
3534  | living             | song
3535  | lizard             | con than lan
3536  | llama              | llama
3537  | load               | tai
3538  | loading            | nap
3539  | loaf               | banh mi
3540  | loafer             | rong
3541  | loan               | cho vay
3542  | lobby              | sanh
3543  | lobotomy           | phau thuat thuy nao
3544  | lobster            | tom hum
3545  | local              | dia phuong
3546  | locality           | dia phuong
3547  | location           | vi tri
3548  | lock               | khoa
3549  | locker             | thay do
3550  | locket             | cai me day
3551  | locomotive         | dau may
3552  | locust             | locust
3553  | lode               | lode
3554  | loft               | gac xep
3555  | log                | log
3556  | loggia             | hanh lang
3557  | logic              | logic
3558  | login              | dang nhap
3559  | logistics          | hau can
3560  | logo               | logo
3561  | loincloth          | kho
3562  | lollipop           | keo
3563  | loneliness         | su co don
3564  | longboat           | xuong
3565  | longitude          | kinh do
3566  | look               | trong
3567  | lookout            | canh giac
3568  | loop               | vong lap
3569  | loophole           | lo hong
3570  | loquat             | loquat
3571  | lord               | chua
3572  | loss               | mat
3573  | lot                | nhieu
3574  | lotion             | lotion
3575  | lottery            | xo so
3576  | lounge             | lounge
3577  | louse              | ran
3578  | lout               | do tho lo
3579  | love               | tinh yeu
3580  | lover              | nguoi yeu
3581  | lox                | do
3582  | loyalty            | long trung thanh
3583  | luck               | may man
3584  | luggage            | hanh ly
3585  | lumber             | go
3586  | lumberman          | tho don go
3587  | lunch              | an trua
3588  | luncheonette       | luncheonette
3589  | lunchmeat          | lunchmeat
3590  | lunchroom          | phong an trua
3591  | lung               | phoi
3592  | lunge              | nhao
3593  | lust               | ham muon
3594  | lute               | sao
3595  | luxury             | sang trong
3596  | lychee             | vai
3597  | lycra              | lycra
3598  | lye                | dung dich kiem
3599  | lymphocyte         | te bao
3600  | lynx               | meo rung
3601  | lyocell            | no
3602  | lyre               | dan lia
3603  | lyrics             | loi bai hat
3604  | lysine             | lysine
3605  | mRNA               | arn
3606  | macadamia          | mac
3607  | macaroni           | mi ong
3608  | macaroon           | giong nhu banh bong lan
3609  | macaw              | vet
3610  | machine            | may
3611  | machinery          | may moc
3612  | macrame            | min ngo
3613  | macro              | vi
3614  | macrofauna         | macrofauna
3615  | madam              | madam
3616  | maelstrom          | maelstrom
3617  | maestro            | maestro
3618  | magazine           | tap chi
3619  | maggot             | maggot
3620  | magic              | ma thuat
3621  | magnet             | nam cham
3622  | magnitude          | cuong do
3623  | maid               | nguoi giup viec
3624  | maiden             | con gai
3625  | mail               | mail
3626  | mailbox            | hop thu
3627  | mailer             | mailer
3628  | mailing            | gui thu
3629  | mailman            | nguoi dua thu
3630  | main               | chinh
3631  | mainland           | dai luc
3632  | mainstream         | chinh
3633  | maintainer         | duy tri
3634  | maintenance        | bao tri
3635  | maize              | ngo
3636  | major              | chinh
3637  | major-league       | lon-giai dau
3638  | majority           | phan lon
3639  | makeover           | trang diem
3640  | maker              | nha san xuat
3641  | makeup             | trang diem
3642  | making             | lam
3643  | male               | nam
3644  | malice             | ac y
3645  | mall               | trung tam mua sam
3646  | mallard            | vit troi
3647  | mallet             | vo
3648  | malnutrition       | suy dinh duong
3649  | mama               | mama
3650  | mambo              | mambo
3651  | mammoth            | ma-mut
3652  | man                | nguoi dan ong
3653  | manacle            | manacle
3654  | management         | quan ly
3655  | manager            | quan ly
3656  | manatee            | lon
3657  | mandarin           | mandarin
3658  | mandate            | nhiem vu
3659  | mandolin           | violin
3660  | mangle             | qua
3661  | mango              | mango
3662  | mangrove           | duoc
3663  | manhunt            | truy lung
3664  | maniac             | ten dien
3665  | manicure           | mong tay
3666  | manifestation      | bieu hien
3667  | manipulation       | thao tac
3668  | mankind            | nhan loai
3669  | manner             | cach
3670  | manor              | dinh thu
3671  | mansard            | tang
3672  | manservant         | nguoi hau
3673  | mansion            | dinh thu
3674  | mantel             | lo suoi
3675  | mantle             | mantle
3676  | mantua             | nghia
3677  | manufacturer       | nha san xuat
3678  | manufacturing      | san xuat
3679  | many               | nhieu
3680  | map                | ban do
3681  | maple              | maple
3682  | mapping            | ban do
3683  | maracas            | maracas
3684  | marathon           | marathon
3685  | marble             | da cam thach
3686  | march              | ngay
3687  | mare               | mare
3688  | margarine          | bo
3689  | margin             | loi nhuan
3690  | mariachi           | mariachi
3691  | marimba            | cam
3692  | marines            | thuy quan luc chien
3693  | marionberry        | marionberry
3694  | mark               | mark
3695  | marker             | danh dau
3696  | market             | thi truong
3697  | marketer           | tiep
3698  | marketing          | marketing
3699  | marketplace        | thi truong
3700  | marksman           | tay thien xa
3701  | markup             | danh dau
3702  | marmalade          | mut
3703  | marriage           | hon nhan
3704  | marsh              | marsh
3705  | marshland          | vung dam lay
3706  | marshmallow        | keo deo
3707  | marten             | chon
3708  | marxism            | chu nghia mac
3709  | mascara            | mascara
3710  | mask               | mat na
3711  | masonry            | ne
3712  | mass               | mass
3713  | massage            | xoa bop
3714  | mast               | cot
3715  | master             | master
3716  | masterpiece        | kiet tac
3717  | mastication        | nhai
3718  | mastoid            | mastoid
3719  | mat                | mat
3720  | match              | tran dau
3721  | matchmaker         | diem
3722  | mate               | mate
3723  | material           | lieu
3724  | maternity          | thai
3725  | math               | toan hoc
3726  | mathematics        | toan hoc
3727  | matrix             | ma tran
3728  | matter             | van de
3729  | mattock            | thu cuoc hai dau
3730  | mattress           | nem
3731  | max                | max
3732  | maximum            | toi da
3733  | maybe              | co le
3734  | mayonnaise         | mayonnaise
3735  | mayor              | thi truong
3736  | meadow             | dong co
3737  | meal               | bua an
3738  | mean               | co nghia la
3739  | meander            | di lang thang
3740  | meaning            | y nghia
3741  | means              | co nghia
3742  | meantime           | cho doi
3743  | measles            | soi
3744  | measure            | do
3745  | measurement        | do
3746  | meat               | thit
3747  | meatball           | meatball
3748  | meatloaf           | banh mi thit
3749  | mecca              | mecca
3750  | mechanic           | tho
3751  | mechanism          | co che
3752  | med                | med
3753  | medal              | huan chuong
3754  | media              | phuong tien truyen thong
3755  | median             | trung binh
3756  | medication         | thuoc
3757  | medicine           | y hoc
3758  | medium             | vua
3759  | meet               | gap go
3760  | meeting            | cuoc hop
3761  | melatonin          | giam
3762  | melody             | melody
3763  | melon              | dua
3764  | member             | thanh vien
3765  | membership         | hoi vien
3766  | membrane           | mang
3767  | meme               | brecht
3768  | memo               | memo
3769  | memorial           | dai tuong niem
3770  | memory             | nho
3771  | men                | nguoi dan ong
3772  | menopause          | thoi ky man kinh
3773  | menorah            | grand
3774  | mention            | de cap den
3775  | mentor             | nguoi thay
3776  | menu               | don
3777  | merchandise        | hang hoa
3778  | merchant           | merchant
3779  | mercury            | mercury
3780  | meridian           | meridian
3781  | meringue           | banh trung duong
3782  | merit              | khen
3783  | mesenchyme         | mesenchyme
3784  | mess               | lon xon
3785  | message            | tin nhan
3786  | messenger          | su gia
3787  | messy              | lon xon
3788  | metabolite         | chuyen hoa
3789  | metal              | kim loai
3790  | metallurgist       | luyen kim
3791  | metaphor           | an du
3792  | meteor             | sao bang
3793  | meteorology        | khi tuong
3794  | meter              | met
3795  | methane            | methane
3796  | method             | phuong phap
3797  | methodology        | phuong phap
3798  | metric             | so lieu
3799  | metro              | metro
3800  | metronome          | nhip
3801  | mezzanine          | lung
3802  | microlending       | microlending
3803  | micronutrient      | chat
3804  | microphone         | microphone
3805  | microwave          | lo vi song
3806  | mid-course         | giua, tat nhien
3807  | midden             | bai
3808  | middle             | trung
3809  | middleman          | nguoi trung gian
3810  | midline            | giua
3811  | midnight           | nua dem
3812  | midwife            | mu
3813  | might              | co the
3814  | migrant            | nhap cu
3815  | migration          | di chuyen
3816  | mile               | dam
3817  | mileage            | mileage
3818  | milepost           | moc
3819  | milestone          | cot moc
3820  | military           | quan su
3821  | milk               | sua
3822  | milkshake          | sua
3823  | mill               | mill
3824  | millennium         | thien nien ky
3825  | millet             | ke
3826  | millimeter         | milimet
3827  | million            | trieu
3828  | millisecond        | mili giay
3829  | millstone          | coi xay
3830  | mime               | kich cam
3831  | mimosa             | mimosa
3832  | min                | min
3833  | mincemeat          | cat thit
3834  | mind               | tam tri
3835  | mine               | mine
3836  | mineral            | khoang
3837  | mineshaft          | con
3838  | mini               | mini
3839  | mini-skirt         | mini-vay
3840  | minibus            | xe buyt
3841  | minimalism         | toi gian
3842  | minimum            | toi thieu
3843  | mining             | khai thac
3844  | minion             | minion
3845  | minister           | bo truong
3846  | mink               | mink
3847  | minnow             | moi
3848  | minor              | nho
3849  | minor-league       | tieu-giai dau
3850  | minority           | dan toc thieu so
3851  | mint               | bac ha
3852  | minute             | phut
3853  | miracle            | phep la
3854  | mirror             | guong
3855  | miscarriage        | say thai
3856  | miscommunication   | hieu lam
3857  | misfit             | khong thich nghi
3858  | misnomer           | nham lan
3859  | misogyny           | ghet phu nu
3860  | misplacement       | that lac
3861  | misreading         | hieu nham
3862  | misrepresentation  | xuyen tac
3863  | miss               | bo lo
3864  | missile            | ten lua
3865  | mission            | nhiem vu
3866  | missionary         | giao
3867  | mist               | suong mu
3868  | mistake            | sai lam
3869  | mister             | mister
3870  | misunderstand      | hieu lam
3871  | miter              | mu
3872  | mitten             | mitten
3873  | mix                | tron
3874  | mixer              | tron
3875  | mixture            | hon hop
3876  | moai               | da,
3877  | moat               | moat
3878  | mob                | mob
3879  | mobile             | dien thoai di dong
3880  | mobility           | di dong
3881  | mobster            | ten cuop
3882  | moccasins          | danh
3883  | mocha              | mocha
3884  | mochi              | banh
3885  | mode               | che do
3886  | model              | nguoi mau
3887  | modeling           | mo hinh
3888  | modem              | modem
3889  | modernist          | hien dai
3890  | modernity          | hien dai
3891  | modification       | sua doi
3892  | molar              | mol
3893  | molasses           | mat duong
3894  | molding            | duc
3895  | mole               | mole
3896  | molecule           | phan tu
3897  | mom                | me,
3898  | moment             | thoi diem nay
3899  | monastery          | tu vien
3900  | monasticism        | tu vien
3901  | money              | tien
3902  | monger             | nguoi lai
3903  | monitor            | theo doi
3904  | monitoring         | giam sat
3905  | monk               | su
3906  | monkey             | khi
3907  | monocle            | mat kieng
3908  | monopoly           | doc quyen
3909  | monotheism         | than
3910  | monsoon            | gio mua,
3911  | monster            | quai vat
3912  | month              | thang
3913  | monument           | dai tuong niem
3914  | mood               | tam trang
3915  | moody              | moody
3916  | moon               | mat trang
3917  | moonlight          | moonlight
3918  | moonscape          | phien
3919  | moonshine          | anh trang
3920  | moose              | moose
3921  | mop                | lau
3922  | morale             | tinh than
3923  | morbid             | benh hoan
3924  | morbidity          | benh tat
3925  | morning            | buoi sang
3926  | moron              | moron
3927  | morphology         | hinh thai
3928  | morsel             | mieng
3929  | mortal             | mortal
3930  | mortality          | ty le tu vong
3931  | mortgage           | the chap,
3932  | mortise            | mong
3933  | mosque             | nha tho hoi giao
3934  | mosquito           | muoi
3935  | most               | nhat
3936  | motel              | motel
3937  | moth               | moth
3938  | mother             | me
3939  | mother-in-law      | me phap luat
3940  | motion             | chuyen dong
3941  | motivation         | dong luc
3942  | motive             | dong co
3943  | motor              | dong co
3944  | motorboat          | thuyen
3945  | motorcar           | xe hoi
3946  | motorcycle         | xe gan may
3947  | mound              | go
3948  | mountain           | nui
3949  | mouse              | chuot
3950  | mouser             | mouser
3951  | mousse             | kem
3952  | moustache          | bo ria mep
3953  | mouth              | mieng
3954  | mouton             | tien
3955  | movement           | phong trao
3956  | mover              | mover
3957  | movie              | phim
3958  | mower              | may cat
3959  | mozzarella         | pho mai
3960  | mud                | bun
3961  | muffin             | muffin
3962  | mug                | mug
3963  | mukluk             | mukluk
3964  | mule               | mule
3965  | multimedia         | phuong tien
3966  | murder             | giet nguoi
3967  | muscat             | dat
3968  | muscatel           | nho xa
3969  | muscle             | co bap
3970  | musculature        | co bap
3971  | museum             | bao tang
3972  | mushroom           | nam
3973  | music              | am nhac
3974  | music-box          | hop nhac
3975  | music-making       | am nhac lam
3976  | musician           | nhac si
3977  | muskrat            | con chuot xa
3978  | mussel             | hen
3979  | mustache           | bo ria mep
3980  | mustard            | mu tat
3981  | mutation           | dot bien
3982  | mutt               | mutt
3983  | mutton             | thit cuu
3984  | mycoplasma         | dieu
3985  | mystery            | bi an
3986  | myth               | huyen thoai
3987  | mythology          | than thoai
3988  | nail               | mong tay
3989  | name               | ten
3990  | naming             | dat ten
3991  | nanoparticle       | do
3992  | napkin             | khan an
3993  | narrative          | cau chuyen
3994  | nasal              | mui
3995  | nation             | quoc gia
3996  | nationality        | quoc tich
3997  | native             | ban xu
3998  | naturalisation     | quoc tich
3999  | nature             | thien nhien
4000  | navigation         | chuyen huong
4001  | necessity          | dieu can thiet
4002  | neck               | co
4003  | necklace           | vong co
4004  | necktie            | ca vat
4005  | nectar             | mat
4006  | nectarine          | cay le
4007  | need               | can
4008  | needle             | kim
4009  | neglect            | bo be
4010  | negligee           | bau
4011  | negotiation        | dam phan
4012  | neighbor           | hang xom
4013  | neighborhood       | khu pho
4014  | neighbour          | hang xom
4015  | neighbourhood      | khu pho
4016  | neologism          | moi
4017  | neon               | neon
4018  | neonate            | tre so sinh
4019  | nephew             | chau
4020  | nerve              | than kinh
4021  | nest               | to
4022  | nestling           | nep
4023  | nestmate           | nestmate
4024  | net                | net
4025  | netball            | bong ro
4026  | netbook            | xach
4027  | netsuke            | netsuke
4028  | network            | mang
4029  | networking         | mang
4030  | neurobiologist     | sinh hoc than kinh
4031  | neuron             | te bao than kinh
4032  | neuropathologist   | neuropathologist
4033  | neuropsychiatry    | neuropsychiatry
4034  | news               | tin tuc
4035  | newsletter         | ban tin
4036  | newspaper          | bao
4037  | newsprint          | giay in bao
4038  | newsstand          | quay thong tin
4039  | nexus              | nexus
4040  | nibble             | nham nhap
4041  | nicety             | tinh tinh vi
4042  | niche              | thich hop
4043  | nick               | nick
4044  | nickel             | nickel
4045  | nickname           | biet danh
4046  | niece              | chau gai
4047  | night              | dem
4048  | nightclub          | hop dem
4049  | nightgown          | ao ngu
4050  | nightingale        | nightingale
4051  | nightlife          | cuoc song ve dem
4052  | nightlight         | den ngu
4053  | nightmare          | con ac mong
4054  | ninja              | ninja
4055  | nit                | nit
4056  | nitrogen           | nito
4057  | nobody             | khong ai
4058  | nod                | gat dau
4059  | node               | nut
4060  | noir               | noir
4061  | noise              | tieng on
4062  | nonbeliever        | nguoi khong tin nguong
4063  | nonconformist      | quyen
4064  | nondisclosure      | nondisclosure
4065  | nonsense           | vo nghia
4066  | noodle             | mi
4067  | noodles            | mi
4068  | noon               | buoi trua
4069  | norm               | norm
4070  | normal             | binh thuong
4071  | normalisation      | viec binh thuong
4072  | normalization      | binh thuong
4073  | north              | bac
4074  | nose               | mui
4075  | notation           | ky hieu
4076  | note               | chu y
4077  | notebook           | may tinh xach tay
4078  | notepad            | notepad
4079  | nothing            | khong co gi
4080  | notice             | khong bao truoc
4081  | notion             | khai niem
4082  | notoriety          | tai tieng
4083  | nougat             | nougat
4084  | noun               | danh tu
4085  | nourishment        | dinh duong
4086  | novel              | tieu thuyet
4087  | nucleotidase       | nucleotidase
4088  | nucleotide         | lop
4089  | nudge              | di chuyen
4090  | nuke               | bom hat nhan
4091  | number             | so
4092  | numeracy           | toan
4093  | numeric            | so
4094  | numismatist        | co tien hoc
4095  | nun                | nun
4096  | nurse              | y ta
4097  | nursery            | vuon uom
4098  | nursing            | dieu duong
4099  | nurture            | nuoi duong
4100  | nut                | hat
4101  | nutmeg             | nhuc dau khau
4102  | nutrient           | dinh duong
4103  | nutrition          | dinh duong
4104  | nylon              | nylon
4105  | nymph              | nhong
4106  | oak                | go soi
4107  | oar                | mai cheo
4108  | oasis              | oasis
4109  | oat                | yen mach
4110  | oatmeal            | bot yen mach
4111  | oats               | yen mach
4112  | obedience          | vang loi
4113  | obesity            | beo phi
4114  | obi                | huy
4115  | object             | doi tuong
4116  | objection          | phan doi
4117  | objective          | muc tieu
4118  | obligation         | nghia vu
4119  | oboe               | oboe
4120  | observation        | quan sat
4121  | observatory        | dai quan sat
4122  | obsession          | noi am anh
4123  | obsidian           | den nhien
4124  | obstacle           | vuot chuong ngai vat
4125  | occasion           | nhan dip
4126  | occupation         | nghe nghiep
4127  | occurrence         | su xuat hien
4128  | ocean              | dai duong
4129  | ocelot             | meo rung
4130  | octagon            | bat
4131  | octave             | quang
4132  | octavo             | octavo
4133  | octet              | phan
4134  | octopus            | octopus
4135  | odometer           | dong ho do
4136  | odyssey            | odyssey
4137  | oeuvre             | tac pham
4138  | off-ramp           | ra day
4139  | offence            | hanh vi pham toi
4140  | offense            | hanh vi pham toi
4141  | offer              | cung cap
4142  | offering           | cung cap
4143  | office             | van phong
4144  | officer            | officer
4145  | official           | chinh thuc
4146  | offset             | bu dap
4147  | oil                | dau
4148  | okra               | dau bap
4149  | oldie              | cong
4150  | oleo               | oleo
4151  | olive              | o liu
4152  | omega              | omega
4153  | omelet             | omelet
4154  | omission           | thieu sot
4155  | omnivore           | tap
4156  | oncology           | ung thu
4157  | onion              | hanh
4158  | online             | truc tuyen
4159  | onset              | khoi dau
4160  | opening            | mo
4161  | opera              | opera
4162  | operating          | dieu hanh
4163  | operation          | hoat dong
4164  | operator           | dieu hanh
4165  | ophthalmologist    | mat
4166  | opinion            | y kien
4167  | opium              | thuoc phien
4168  | opossum            | ngoc
4169  | opponent           | doi thu
4170  | opportunist        | ke co hoi
4171  | opportunity        | co hoi
4172  | opposite           | nguoc lai
4173  | opposition         | doi lap
4174  | optimal            | toi uu
4175  | optimisation       | toi uu
4176  | optimist           | nguoi lac quan
4177  | optimization       | toi uu
4178  | option             | lua chon
4179  | orange             | orange
4180  | orangutan          | duoi uoi
4181  | orator             | nha hung bien
4182  | orchard            | orchard
4183  | orchestra          | dan nhac
4184  | orchid             | orchid
4185  | order              | trat tu
4186  | ordinary           | binh thuong
4187  | ordination         | phoi
4188  | ore                | quang
4189  | oregano            | oregano
4190  | organ              | organ
4191  | organisation       | to chuc
4192  | organising         | to chuc
4193  | organization       | to chuc
4194  | organizing         | to chuc
4195  | orient             | orient
4196  | orientation        | dinh huong
4197  | origin             | nguon goc
4198  | original           | ban dau
4199  | originality        | doc dao
4200  | ornament           | trang tri
4201  | osmosis            | tham thau
4202  | osprey             | thai
4203  | ostrich            | da dieu
4204  | other              | khac
4205  | otter              | rai ca
4206  | ottoman            | ottoman
4207  | ounce              | ounce
4208  | outback            | heo lanh
4209  | outcome            | qua
4210  | outfielder         | chuan bi chuyen nhuong
4211  | outfit             | trang phuc
4212  | outhouse           | nha ve sinh
4213  | outlaw             | ngoai vong phap luat
4214  | outlay             | bo ra
4215  | outlet             | outlet
4216  | outline            | phac thao
4217  | outlook            | vong
4218  | output             | ra
4219  | outrage            | su phan no
4220  | outrigger          | hilton
4221  | outrun             | chay nhanh hon
4222  | outset             | ngay tu dau
4223  | outside            | ben ngoai
4224  | oval               | hinh bau duc
4225  | ovary              | buong trung
4226  | oven               | lo
4227  | overcharge         | qua tai
4228  | overclocking       | ep xung
4229  | overcoat           | ao khoac
4230  | overexertion       | qua suc
4231  | overflight         | bay ngang
4232  | overhead           | tren khong
4233  | overheard          | nghe lom
4234  | overload           | qua tai
4235  | overnighter        | overnighter
4236  | overshoot          | vuot qua
4237  | oversight          | giam sat
4238  | overview           | tong
4239  | overweight         | thua
4240  | owl                | cu
4241  | owner              | chu so huu
4242  | ownership          | quyen so huu
